State,Plant Batches,Open Loop States - See Closed Loop Tab for direction,Vegetative,Mother Plants,Flowering,Harvests,Packages,Labs,Sales,Sales Deliveries,Retailer Deliveries,Patients Tab,Get Wholesale & Transfers,EXTERNAL INCOMING TRANSFERS,Transfer Templates
AK,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES
CA,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES
CO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
DC,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES
LA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
MA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES
MD,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
ME,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES
MI ,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
MN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES
MO ,YES,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
MS,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES
MT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES
NJ,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES
NV,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES
OH,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES
OK,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES
OR,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES
RI,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES
SD,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
WV,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES
VA,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES
TR29,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES
TR,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES
IL,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES
GU,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES
KY,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES
AL,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES
VI,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES
NY,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES
